species.name,longitude,latitude
Onthophagus taurus,-28.66958,38.54402
Onthophagus taurus,-25.35815,37.82348
Onthophagus taurus,-27.2934,38.7358
Onthophagus taurus,-28.78539,38.58737
Onthophagus taurus,-28.72693,38.54319
Onthophagus taurus,-27.29358,38.78086
Onthophagus taurus,-25.47266,37.77996
Onthophagus taurus,-31.0877,39.7004
Onthophagus taurus,-25.30342,37.73258
Onthophagus taurus,-27.12074,38.69105
Onthophagus taurus,-25.75648,37.78329
Onthophagus taurus,-25.24564,37.77679
Onthophagus taurus,-28.2092,38.45957
Onthophagus taurus,-27.23587,38.73593
Onthophagus taurus,-25.18779,37.82098
Onthophagus taurus,-25.52942,37.78068
Onthophagus taurus,-28.32296,38.41328
Onthophagus taurus,-28.32378,38.45833
Onthophagus taurus,-25.81253,37.82894
Onthophagus taurus,-27.35092,38.73564
Onthophagus taurus,-28.09392,38.41564
Onthophagus taurus,-28.20844,38.41452
Onthophagus taurus,-28.61223,38.54483
Onthophagus taurus,-25.36014,37.73338
Onthophagus taurus,-27.06324,38.69109
Onthophagus taurus,-27.1811,38.68872
Onthophagus taurus,-25.75573,37.82835
Onthophagus taurus,-27.06041,38.73841
Onthophagus taurus,-25.24457,37.82184
Onthophagus taurus,-28.3828,38.54776
Onthophagus taurus,-31.18507,39.38172
Onthophagus taurus,-25.09488,37.00839
Onthophagus taurus,-25.81181,37.87399
Onthophagus taurus,-27.12089,38.78116
Onthophagus taurus,-31.24843,39.46948
Onthophagus taurus,-27.35115,38.7807
Onthophagus taurus,-25.53031,37.73563
Onthophagus taurus,-25.15214,36.96423
Onthophagus taurus,-25.58618,37.78137
Onthophagus taurus,-25.75497,37.8734
Onthophagus taurus,-28.72909,38.63327
Onthophagus taurus,-25.41686,37.73416
Onthophagus taurus,-28.03666,38.41616
Onthophagus taurus,-28.72801,38.58823
Onthophagus taurus,-25.18889,37.77594
Onthophagus taurus,-28.43837,38.45698
Onthophagus taurus,-25.35915,37.77843
Onthophagus taurus,-25.30239,37.77763
Onthophagus taurus,-27.17845,38.78109
Onthophagus taurus,-28.15118,38.41509
Onthophagus taurus,-28.49565,38.45626
Onthophagus taurus,-25.096,36.96334
Onthophagus taurus,-25.47359,37.73491
Onthophagus taurus,-28.44016,38.54707
Onthophagus taurus,-28.2657,38.41391
Onthophagus taurus,-28.26649,38.45896
Onthophagus taurus,-25.69972,37.78268
Onthophagus taurus,-31.19045,39.47158
Onthophagus taurus,-28.67062,38.58907
Onthophagus taurus,-27.12081,38.73611
Onthophagus taurus,-27.23602,38.78099
Onthophagus taurus,-28.38108,38.45767
Onthophagus taurus,-28.32461,38.50338
Onthophagus taurus,-25.64295,37.78204
Onthophagus taurus,-25.4159,37.77921
Onthophagus taurus,-25.64212,37.82709
Onthophagus taurus,-31.24296,39.37962
Onthophagus taurus,-28.61324,38.58987
Onthophagus taurus,-31.24569,39.42455
Onthophagus taurus,-27.29321,38.69074
Onthophagus taurus,-28.49658,38.50131
Onthophagus taurus,-25.03987,36.96243
Onthophagus taurus,-25.69893,37.82774
Onthophagus taurus,-28.43926,38.50203
Onthophagus taurus,-31.18776,39.42665
Onthophagus taurus,-27.3507,38.69058
Onthophagus taurus,-28.38194,38.50272
Onthophagus taurus,-25.30136,37.82267
Onthophagus taurus,-25.41494,37.82426
Onthophagus taurus,-27.17834,38.73603
Onthophagus taurus,16.9347,52.2342
Onthophagus taurus,14.33,48.32
Onthophagus taurus,1.22967,46.8015
Onthophagus taurus,22.6968,52.7723
Onthophagus taurus,2.57416,42.58386
Onthophagus taurus,2.2652,47.80307
Onthophagus taurus,32.012,36.555
Onthophagus taurus,5.8009,43.89807
Onthophagus taurus,-1.68165,47.08049
Onthophagus taurus,6.2666,45.50698
Onthophagus taurus,3.19581,46.54484
Onthophagus taurus,2.32472,43.98083
Onthophagus taurus,-27.2558,38.67957
Onthophagus taurus,-3.534632,40.782871
Onthophagus taurus,-4.003233,40.419407
Onthophagus taurus,-4.783525,43.111931
Onthophagus taurus,-4.537804,43.115501
Onthophagus taurus,-4.408746,42.847015
Onthophagus taurus,-2.944393,37.900669
Onthophagus taurus,-5.72466,36.15696
Onthophagus taurus,-5.616605,36.2495
Onthophagus taurus,-6.160347,36.334469
Onthophagus taurus,-5.628731,36.609726
Onthophagus taurus,-3.749808,38.7995
Onthophagus taurus,3.32524,46.36445
Onthophagus taurus,0.98395,46.1824
Onthophagus taurus,-3.76145,39.880692
Onthophagus taurus,-3.762448,39.970783
Onthophagus taurus,-3.411703,40.062656
Onthophagus taurus,-3.646206,40.061584
Onthophagus taurus,-3.651382,40.6021
Onthophagus taurus,1.40717,45.8831
