species.name,longitude,latitude
Onitis alexis,15.899,-19.735
Onitis alexis,20.073,-27.418
Onitis alexis,23.361,-27.485
Onitis alexis,29.78,-30.84
Onitis alexis,23.102,-27.604
Onitis alexis,22.026,-28.293
Onitis alexis,22.384,-21.049
Onitis alexis,27.776,-31.436
Onitis alexis,27.028,-29.825
Onitis alexis,29.892,-30.413
Onitis alexis,30.503,-29.722
Onitis alexis,26.671,-31.936
Onitis alexis,29.933,-30.267
Onitis alexis,25.444,-32.651
Onitis alexis,32,-27.572
Onitis alexis,28.7,-24.666667
Onitis alexis,29.2,-28.933333
Onitis alexis,27.833333,-24.183333
Onitis alexis,39.09825,-5.08881
Onitis alexis,13.18333,-17
Onitis alexis,30.009,-22.41
Onitis alexis,29.66,-22.887
Onitis alexis,29.898,-23.073
Onitis alexis,17.141,-22.792
Onitis alexis,21.25,-28.45
Onitis alexis,34.64,-0.773
Onitis alexis,38.817,-3.35
Onitis alexis,24.509,-27.034
Onitis alexis,29.3,-24.883333
Onitis alexis,18.048,-19.277
Onitis alexis,37.533,0.667
Onitis alexis,38.113,0.179
Onitis alexis,36.128611,-3.516389
Onitis alexis,31.371,-28.862
Onitis alexis,31.128611,-25.082778
Onitis alexis,38.2,0.083333
Onitis alexis,29.991,-23.081
Onitis alexis,36.494,0.229
Onitis alexis,17.583,-22.473
Onitis alexis,29.614,-23.903
Onitis alexis,17.336,-22.439
Onitis alexis,18.206,-22.352
Onitis alexis,35.1,-1.466667
Onitis alexis,34.959,-1.374
Onitis alexis,38.233,0.133
Onitis alexis,36.907,-3.392
Onitis alexis,36.767,-1.3
Onitis alexis,35.751,-3.548
Onitis alexis,38.9,-3.633
Onitis alexis,37.909,2.046
Onitis alexis,39.541,-4.006
Onitis alexis,39.25,-3
Onitis alexis,37.692,0.076
Onitis alexis,36.717,2.767
Onitis alexis,39.283,-3.037
Onitis alexis,37.417,-2.046
Onitis alexis,38.079,0.138
Onitis alexis,36.633,-1.4
Onitis alexis,34.658,-2.255
Onitis alexis,34.971,-1.311
Onitis alexis,37.655,3.002
Onitis alexis,38.386,-0.078
Onitis alexis,35.933333,-3.6
Onitis alexis,39.35,-2.817
Onitis alexis,39.296,-2.954
Onitis alexis,35.959,-1.186
Onitis alexis,40.113,-3.216
Onitis alexis,35.033,-1.517
Onitis alexis,35.592,-1.021
Onitis alexis,39.231,-3.077
Onitis alexis,35.739,-1.172
Onitis alexis,37.02,-1.468
Onitis alexis,36.494,0.267
Onitis alexis,35.018,-0.344
Onitis alexis,37.111,-1.032
Onitis alexis,39.796,-3.663
Onitis alexis,34.908,-2.567
Onitis alexis,36.272,3.702
Onitis alexis,37.283,-2.667
Onitis alexis,37.697,5.83
Onitis alexis,37.315,-1.982
Onitis alexis,35.782,-3.45
Onitis alexis,37.526667,-2.351667
Onitis alexis,39.583,-3.033
Onitis alexis,38.386,-3.021
Onitis alexis,36.825,1.69
Onitis alexis,36.624,-3.376
Onitis alexis,35.025,-0.606
Onitis alexis,38.159,0.264
Onitis alexis,36.54,-3.404
Onitis alexis,34.828,-1.245
Onitis alexis,38.215,0.044
Onitis alexis,34.993,-0.161
Onitis alexis,37.474,0.573
Onitis alexis,35.364678,-15.36355
Onitis alexis,22.418,-28.159
Onitis alexis,24.582,-29.22
Onitis alexis,27.031,-29.895
Onitis alexis,37.583333,0.35
Onitis alexis,29.8,-23.316667
Onitis alexis,15.94,-19.808
Onitis alexis,32.57,-20.236
Onitis alexis,16.299,-21.909
Onitis alexis,14.963889,-14.753056
Onitis alexis,13.739444,-14.787778
Onitis alexis,14.803611,-13.778333
Onitis alexis,24.791,-26.772
Onitis alexis,14.8,-14.9
Onitis alexis,31.4853,-24.0114
Onitis alexis,17.361,-22.308
Onitis alexis,17.448,-26.784
Onitis alexis,22.852,-27.202
Onitis alexis,17.133,-22.75
Onitis alexis,17.117,-22.833
Onitis alexis,15.837,-21.943
Onitis alexis,31.106,-27.209
Onitis alexis,16.597,-21.905
Onitis alexis,32.374444,-19.964722
Onitis alexis,16.631,-22.645
Onitis alexis,34.316667,-14.361667
Onitis alexis,34.1707,-14.3733
Onitis alexis,34.426006,-14.439289
Onitis alexis,23.689,-27.39
Onitis alexis,28.916667,-25.466667
Onitis alexis,32.2,-28.4
Onitis alexis,32.25,-28.383333
Onitis alexis,31.133333,-17.883333
Onitis alexis,25.357,-26.021
Onitis alexis,29.95,-28.16
Onitis alexis,27.933333,-25.616667
Onitis alexis,16.051,-19.962
Onitis alexis,30.696,-20.885
Onitis alexis,26.669,-30.7
Onitis alexis,16.5,-18.75
Onitis alexis,30.563,-23.916
Onitis alexis,26.317,-18.583
Onitis alexis,31.017,-25.317
Onitis alexis,29.772,-23.363
